,cost_total,carbon_emissions_total,ramping_average,daily_peak_average,all_time_peak_average
ablation_full_synapcity,1.0100137469984427,1.012650129018827,1.0993117874739071,1.018825644282285,1.1942460033012705
ablation_neither,0.7899924720136643,0.8703041323841024,0.8393531816937553,0.8913751226677584,1.000000022880745
ablation_no_negotiator,0.9243324694663664,0.9460862265463476,1.1907561741332504,1.015075861696163,1.1942460033012705
ablation_no_safety_gate,0.8135422693043122,0.8609122393931855,0.7920314449378817,0.8378048355145439,0.8964854452468528
baseline,0.7613672325464279,0.8477784528078999,0.8233082881361303,0.8425219450562458,1.000000022880745
synapcity,0.9999868703743044,1.0038627145360963,1.0849616132832074,1.021827177431932,1.1942460033012705
